,category,cost_type,price,sup_size,dedi_size,title,lat_num,lng_num,detail_num
230,단독다가구,매매,"59,000",578.4,82.63,★ 추천-해안초 인근 전원농가주택,,,1098764
231,전원농가주택,매매,"22,000",178,69.43,제주시 구좌읍 김녕리 리모델링된 농가주택 매매,,,1115794
232,아파트,매매,0,130,103.48,도남이편한/매물구함/매수자대기중 급매구함.도남e-편한세상아파트,,,1041990
233,원룸투룸쓰리룸,년월세,200/38,23.14,23.14,!최저가첫입주원룸! 신제주 신축원룸 드림타워인근 카드결제가능 입지 인프라 최고!!,33.48625229579237,126.48405451110284,1070958
234,상가건물,임대,"10,000/12,000",465,658,"[상가건물 임대] 드림타워 인근, 8차선 도로 접",,,1115453
235,단독다가구,전세,"18,000",82.63,72.71,신성여고 인근 신축 다가구주택 쓰리룸 전세 / 반전세가능함,,,1094041
236,빌라연립다세대,매매,"43,000",105.8,,정원파인즈14차 1층,,,973469
237,아파트,전세,"16,000",66,45.9,부영2차아파트 전세,,,1075894
238,원룸투룸쓰리룸,년월세,"1,000/800",101.4,86,함덕 라마다호텔 인근 빌라 임대(년세)합니다.,,,1115776
239,아파트,매매,"36,000",113,84.94,대유대림 1층 올수리 즉시,33.50287173963845,126.55107977366212,1107252
240,아파트,매매,"45,000",86,59.95,중흥S-클래스아파트 매매 / 풀확장 / 임대차승계 / 3층,,,1115449
241,상가점포,매매,"43,200",386,102,이호이동 상가점포 매매,,,1111444
242,사무실,임대,"2,500/1,700",171.9,171.9,<큰별405>도남청사 맞은편 주차편리한 사무실,,,1070823
243,아파트,매매,"40,000",97,74.35,노형뜨란채아파트 매매. 기본형. 내부좋음. 협의입주,,,1115459
244,아파트,매매,"19,300",82,59.97,급매)일도신천지아파트 매매,,,1089524
245,토지임야,매매,"21,700",327.2,,"★ ""급""추천-상예1동 마을회관인근 2종일반주거지역내 대지",33.25054758078856,126.39027068671129,1106650
246,아파트,매매,"34,000",88,66,삼화부영3차아파트 매매 / 5층 / 방3 화2 / 협의입주,,,1115476
247,토지임야,매매,"10,000",331,,"애월 하가리 수도,전기완비  전원주택지",,,1115792
248,빌라연립다세대,매매,"23,000",88.6763,66.1186,빌라매매,33.48029358358999,126.4592881143968,777511
249,공장/창고,임대,"5,000/5,000",290.8,264.4,매물번호 신-462 제주시 노형동 애조로 부근 1층88평 상가임대,,,1078300
250,토지임야,매매,"76,500",1405,,산방산 2차선도로 접한 A급 토지 매매,,,1007562
251,오피스텔,매매,"9,500",29.75,23.14,노형 에코지엘 원룸매매,33.48371153079743,126.48187464505213,1088091
252,아파트,년월세,300/700,78,59.93,★쓰리룸-리모델링!!★화북주공4단지아파트 년월세,33.518360256624355,126.57434000983321,1112255
253,아파트,전세,"22,000",123,,태홍누리안1차 아파트 전세,,,1112665
254,,,,,,,,,1111439
255,상가점포,임대,"1,200/800",103,103,거문오름 유명 맛집 임대,,,1111422
256,아파트,매매,"72,000",110.31,84.9,노형2차아이파크아파트 매매 / 임대차승계 / 4층,,,1115468
257,빌라연립다세대,전세,"17,000",,84,리모델링완료!천일아파트 전세/방3,33.47170102915191,126.54690723595405,1111454
258,아파트,년월세,"1,000/900",105.89,65.90,김녕 센트럴시티 에덴 7층아파트 - 32평형,33.55644192818369,126.7548370132421,952923
259,아파트,매매,"63,000",128,110.63,노형e-편한세상아파트 매매 / 내부좋음 / 협의입주 / 3층,,,1115462
260,아파트,매매,"20,000",85.38,59.83,급매 노형 백록초 인근  세기7차 아파트 매매,33.484484147510365,126.47182492424004,1103464
261,상가건물,매매,"32,000",99.15,178.5,"3억2천 일주도로 상가 식당,카페 / 대정읍 일과리",33.23203243272694,126.24209834607211,1055077
262,토지임야,매매,"18,500",330,,건축허가 득한 단독주택지/4차선도로에서 약120미터/4미터도로,,,1101903
263,공장/창고,임대,"4,000/4,000",528.8,528.8,<큰별449>2차선 근접 호이스트 있는 물류창고,,,1075793
264,단독다가구,매매,"65,000",478,176.27,2층 단독 주택,33.50694020440091,126.52697688274921,1112174
265,빌라연립다세대,년월세,200/650,85,77,가격인하~이호동 쓰리룸 임대/대동마을 이호석재 맞은편/저렴하고 넓은 방,,,1112176
266,아파트,매매,"58,000",108,,제주아라KCC스위첸아파트 매매 / 강추 / 한라산전망 최상 / 협의입주,,,1115470
267,상가점포,임대,"4,300/4,300",231.4,198.3,★신축  ★ 대형 통상가 1.2층- 폴딩도어/테라스,,,1081673
268,토지임야,매매,"26,100",576.0,,"k-181 바닷가 인근 펜션,카페부지",,,1111423
269,아파트,매매,"7,449",108.7050,84.47,곶자왈 아이파크 3층 분양권 전매(무피),33.32633063048785,126.27060288485883,1070389
270,빌라연립다세대,매매,"27,000",101,83.68,회천동펠리시티 매매/한라산전망,33.50004927878575,126.6066454261355,1100961
271,단독다가구,년월세,"0/3,500",526.1,192,강력추천~!! 내도동 최고의 럭셔리 타운하우스 임대합니다.,,,1115773
272,상가점포,임대,"1,000/1,800",132.2,132.2,<큰별466>추천 고깃집 하실려면 모든 조건 갑입니다!!,,,1081650
273,단독다가구,전세,"17,000",661.2,112.4,와흘리 초록마을 관리잘된 전원주택,,,1115805
274,단독다가구,매매,"105,000",551.9,188.4,▶정실마을 고급단독주택 강력추천◀  오라이동,,,943152
275,토지임야,매매,"85,000",6264,,k-185 보성리 건축가능 과수원 매매(당45만),,,1111447
